Q,Rank,CS,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,Column1,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Column2,Normalized Eigenfactor,Column3
Q1,1,,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,0007-9235,"39,917",292.278,291.481,,225.870,75.000,22,3.4,4.6,0.093460,56.503,77.27,99.795,,11.40224,
Q1,2,,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,0028-4793,"347,451",74.699,73.983,,72.098,19.003,328,8.7,4.9,0.660800,31.319,84.45,99.697,,80.61802,
Q1,3,,Nature Reviews Materials,NAT REV MATER,2058-8437,"12,657",71.189,70.968,,84.972,7.455,44,2.8,5.5,0.052800,28.844,2.27,99.678,,6.44274,
Q1,4,,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,1474-1776,"33,154",64.797,63.905,,60.796,18.694,36,8.2,5.5,0.049170,20.392,11.11,99.747,,5.99988,
Q1,5,,LANCET,LANCET,0140-6736,"256,199",60.392,59.208,,59.345,15.011,275,8.6,4.2,0.437300,23.354,69.82,99.091,,53.35139,
Q1,6,,WHO Technical Report Series,WHO TECH REP SER,0512-3054,"3,560",59.000,59.000,,2.366,Not Available,0,19.3,Not Available,0.001200,0.850,Not Available,99.741,,0.14663,
Q1,7,,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,1471-0072,"46,307",55.470,54.940,,53.949,18.932,44,8.9,6.2,0.082320,23.709,0.00,99.744,,10.04381,
Q1,8,,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,1759-4774,"12,384",53.276,52.667,,34.517,11.463,41,3.8,4.4,0.035980,11.973,17.07,99.385,,4.38978,
Q1,9,,NATURE REVIEWS CANCER,NAT REV CANCER,1474-175X,"52,053",53.030,52.604,,52.659,9.047,43,9.1,4.9,0.066030,19.155,4.65,98.975,,8.05570,
Q1,10,,CHEMICAL REVIEWS,CHEM REV,0009-2665,"200,014",52.758,52.234,,60.399,14.316,209,7.8,7.2,0.271190,16.496,0.00,99.718,,33.08593,
Q1,11,,Nature Energy,NAT ENERGY,2058-7546,"17,747",46.495,45.803,,56.397,8.828,93,2.7,4.4,0.067200,17.741,89.25,99.538,,8.19901,
Q1,12,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,0098-7484,"158,632",45.540,44.379,,47.677,13.545,200,10.0,4.9,0.290050,21.712,78.00,98.485,,35.38623,
Q1,13,,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,0034-6861,"51,122",45.037,44.840,,46.149,11.947,38,11.7,7.8,0.051690,21.102,5.26,99.412,,6.30628,
Q1,14,,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,0306-0012,"150,703",42.846,42.493,,45.907,14.202,183,6.0,5.3,0.229230,11.368,0.00,99.153,,27.96650,
Q1,15,,NATURE,NATURE,0028-0836,"767,209",42.778,42.243,,46.486,9.687,903,10.9,6.2,1.216730,21.960,97.67,99.296,,148.44183,
Q1,16,,SCIENCE,SCIENCE,0036-8075,"699,842",41.845,41.329,,44.372,8.384,774,11.2,6.6,1.022660,20.309,91.73,97.887,,124.76491,
Q1,17,,Nature Reviews Disease Primers,NAT REV DIS PRIMERS,2056-676X,"7,567",40.689,40.622,,42.523,4.231,39,3.0,6.4,0.032310,14.706,100.00,97.879,,3.94183,
Q1,18,,World Psychiatry,WORLD PSYCHIATRY,1723-8617,"6,486",40.595,36.881,,38.279,10.238,21,4.8,5.8,0.017130,13.050,76.19,99.661,,2.09067,
Q1,18,,World Psychiatry,WORLD PSYCHIATRY,1723-8617,"6,486",40.595,36.881,,38.279,10.238,21,4.8,5.8,0.017130,13.050,76.19,99.661,,2.09067,
Q1,20,,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,1474-1733,"42,168",40.358,40.066,,49.054,9.442,52,8.4,6.3,0.068470,19.508,9.62,99.684,,8.35419,
Q1,21,,NATURE MATERIALS,NAT MATER,1476-1122,"99,502",38.663,38.337,,43.608,7.864,162,7.7,5.9,0.158460,15.609,94.44,99.460,,19.33219,
Q1,22,,CELL,CELL,0092-8674,"258,178",38.637,38.045,,38.620,7.727,432,9.0,6.4,0.564970,20.841,91.20,99.531,,68.92753,
Q1,23,,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,1087-0156,"63,979",36.558,35.688,,42.297,9.911,123,7.5,4.8,0.156640,22.474,92.68,99.038,,19.11034,
Q1,24,,NATURE MEDICINE,NAT MED,1078-8956,"85,220",36.130,35.752,,36.230,11.706,201,7.9,5.0,0.168730,16.437,93.53,99.284,,20.58566,
Q1,25,,Living Reviews in Relativity,LIVING REV RELATIV,2367-3613,"3,074",35.429,35.286,,38.185,4.833,6,7.8,7.6,0.005070,14.882,0.00,98.276,,0.61895,
Q1,26,,Nature Reviews Chemistry,NAT REV CHEM,****-****,"3,209",34.953,34.709,,34.953,4.721,43,2.1,6.6,0.013980,12.878,0.00,98.588,,1.70607,
