,Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,journal,acceptanceRate,timeToFirstDecision,publicationTime,subjectAreas,aut_valid,Rev1,AR,Time to first decision,Review time,Submission to acceptance,Acceptance to publication,Acceptance Rate
0,Abacus-A Journal of Accounting Finance and Business Studies,0001-3072,1467-6281,2.1,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00067,2.8,,,,,,,,,,,,,
1,Academia-Revista Latinoamericana de Administracion,1012-8255,2056-5127,1.2,Q4,BUSINESS - SSCI (Q4); MANAGEMENT - SSCI (Q4),0.00028,4.8,,,,,,,,,,,,,
2,ACADEMIC PSYCHIATRY,1042-9670,1545-7230,2.5,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2); PSYCHIATRY - SSCI (Q3),0.00359,2.88,,,,,,,,,,,,,
3,Academy of Management Annals,1941-6520,1941-6067,21.2,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.01537,4.8,,,,,,,,,,,,,
4,Academy of Management Discoveries,,2168-1007,6.3,Q2,MANAGEMENT - SSCI (Q2),0.00449,4.8,,,,,,,,,,,,,
5,ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,10.5,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.02654,4.8,,,,,,,,,,,,,
6,Academy of Management Learning & Education,1537-260X,,4.8,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1); MANAGEMENT - SSCI (Q2),0.00207,3.6,,,,,,,,,,,,,
7,Academy of Management Perspectives,1558-9080,,8.9,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.00489,4.8,,,,,,,,,,,,,
8,ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,16.4,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.01481,4.8,,,,,,,,,,,,,
9,ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,5.9,Q1,"ERGONOMICS - SSCI (Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q1); TRANSPORTATION - SSCI (Q2)",0.02079,3.06,Accident Analysis and Prevention,13.11,4.0,1.9,"['Human Factors and Ergonomics', 'Safety, Risk, Reliability and Quality', 'Public Health, Environmental and Occupational Health']",True,28,13,10,125,163,11,13
10,ACCOUNTING AND BUSINESS RESEARCH,0001-4788,2159-4260,1.7,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00143,2.8,,,,,,,,,,,,,
11,Accounting and Finance,0810-5391,1467-629X,2.6,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00329,2.8,,,,,,,,,,,,,
12,Accounting Auditing & Accountability Journal,0951-3574,1758-4205,4.2,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.00464,2.8,,,,,,,,,,,,,
13,Accounting Forum,0155-9982,1467-6303,3.1,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.0007,2.8,,,,,,,,,,,,,
14,Accounting Horizons,0888-7993,1558-7975,2.5,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00188,2.8,,,,,,,,,,,,,
15,ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,1873-6289,4.7,Q1,"BUSINESS, FINANCE - SSCI (Q1)",0.00353,2.8,"Accounting, Organizations and Society",5.13,6.3,29.8,"['Accounting', 'Sociology and Political Science', 'Organizational Behavior and Human Resource Management', 'Information Systems and Management']",True,44,5,,,744,,
16,ACCOUNTING REVIEW,0001-4826,1558-7967,4.1,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.01363,2.8,,,,,,,,,,,,,
17,Across Languages and Cultures,1585-1923,1588-2519,0.7,Q3,LINGUISTICS - SSCI (Q3),0.00031,1.2,,,,,,,,,,,,,
18,Acta Bioethica,0717-5906,1726-569X,0.4,Q4,"ETHICS - SSCI (Q4); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q4)",8e-05,1.9,,,,,,,,,,,,,
19,Acta Histriae,1318-0185,2591-1767,0.2,Q4,HISTORY - SSCI (Q4),0.00031,0.6,,,,,,,,,,,,,
20,Acta Linguistica Academica,2559-8201,2560-1016,0.5,Q4,LINGUISTICS - SSCI (Q4),0.00033,1.2,,,,,,,,,,,,,
21,ACTA OECONOMICA,0001-6373,1588-2659,0.8,Q4,ECONOMICS - SSCI (Q4),0.0002,2.1,,,,,,,,,,,,,
