Journal Name,ISSN,EISSN,IF,Best Quartile,Quartiles,Eigen Factor,MIF,Column1
Abacus-A Journal of Accounting Finance and Business Studies,0001-3072,1467-6281,2.1,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00067,2.8,
Academia-Revista Latinoamericana de Administracion,1012-8255,2056-5127,1.2,Q4,BUSINESS - SSCI (Q4); MANAGEMENT - SSCI (Q4),0.00028,4.8,
ACADEMIC PSYCHIATRY,1042-9670,1545-7230,2.5,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2); PSYCHIATRY - SSCI (Q3),0.00359,2.88,
Academy of Management Annals,1941-6520,1941-6067,21.2,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.01537,4.8,
Academy of Management Discoveries,N/A,2168-1007,6.3,Q2,MANAGEMENT - SSCI (Q2),0.00449,4.8,
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,10.5,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.02654,4.8,
Academy of Management Learning & Education,1537-260X,N/A,4.8,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1); MANAGEMENT - SSCI (Q2),0.00207,3.6,
Academy of Management Perspectives,1558-9080,N/A,8.9,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.00489,4.8,
ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,16.4,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.01481,4.8,
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,5.9,Q1,"ERGONOMICS - SSCI (Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q1); TRANSPORTATION - SSCI (Q2)",0.02079,3.06,
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,2159-4260,1.7,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00143,2.8,
Accounting and Finance,0810-5391,1467-629X,2.6,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00329,2.8,
Accounting Auditing & Accountability Journal,0951-3574,1758-4205,4.2,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.00464,2.8,
Accounting Forum,0155-9982,1467-6303,3.1,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.0007,2.8,
Accounting Horizons,0888-7993,1558-7975,2.5,Q3,"BUSINESS, FINANCE - SSCI (Q3)",0.00188,2.8,
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,1873-6289,4.7,Q1,"BUSINESS, FINANCE - SSCI (Q1)",0.00353,2.8,
ACCOUNTING REVIEW,0001-4826,1558-7967,4.1,Q2,"BUSINESS, FINANCE - SSCI (Q2)",0.01363,2.8,
Across Languages and Cultures,1585-1923,1588-2519,0.7,Q3,LINGUISTICS - SSCI (Q3),0.00031,1.2,
Acta Bioethica,0717-5906,1726-569X,0.4,Q4,"ETHICS - SSCI (Q4); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q4)",8.00E-05,1.9,
Acta Histriae,1318-0185,2591-1767,0.2,Q4,HISTORY - SSCI (Q4),0.00031,0.6,
Acta Linguistica Academica,2559-8201,2560-1016,0.5,Q4,LINGUISTICS - SSCI (Q4),0.00033,1.2,
ACTA OECONOMICA,0001-6373,1588-2659,0.8,Q4,ECONOMICS - SSCI (Q4),0.0002,2.1,
Acta Paulista de Enfermagem,0103-2100,1982-0194,0.7,Q4,NURSING - SSCI (Q4),0.00073,2,
Acta Politica,0001-6810,1741-1416,1.2,Q3,POLITICAL SCIENCE - SSCI (Q3),0.00138,1.9,
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,1600-0447,6.7,Q1,PSYCHIATRY - SSCI (Q1),0.01143,3.35,
ACTA PSYCHOLOGICA,0001-6918,1873-6297,1.8,Q3,"PSYCHOLOGY, EXPERIMENTAL - SSCI (Q3)",0.00403,2.4,
ACTA SOCIOLOGICA,0001-6993,1502-3869,1.7,Q3,SOCIOLOGY - SSCI (Q3),0.00103,2.1,
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0335-5322,1955-2564,0.3,Q4,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q4)",0.00028,1.9,
Action Research,1476-7503,1741-2617,1.9,Q2,"MANAGEMENT - SSCI (Q4); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q2)",0.00091,3.35,
Active Learning in Higher Education,1469-7874,1741-2625,5,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1),0.00113,2.4,
ADAPTIVE BEHAVIOR,1059-7123,1741-2633,1.6,Q3,"PSYCHOLOGY, EXPERIMENTAL - SSCI (Q4); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q3)",0.00062,2.15,
ADDICTION,0965-2140,1360-0443,6,Q1,PSYCHIATRY - SSCI (Q1); SUBSTANCE ABUSE - SSCI (Q1),0.02596,3.38,
ADDICTION RESEARCH & THEORY,1606-6359,1476-7392,2.9,Q2,SOCIAL ISSUES - SSCI (Q2); SUBSTANCE ABUSE - SSCI (Q3),0.00246,2.85,
Addiction Science & Clinical Practice,1940-0640,1940-0640,3.7,Q2,SUBSTANCE ABUSE - SSCI (Q2),0.00275,3.4,
ADDICTIVE BEHAVIORS,0306-4603,1873-6327,4.4,Q1,"PSYCHOLOGY, CLINICAL - SSCI (Q1); SUBSTANCE ABUSE - SSCI (Q1)",0.02127,3.1,
Adicciones,0214-4840,N/A,3,Q3,SUBSTANCE ABUSE - SSCI (Q3),0.00054,3.4,
ADMINISTRATION & SOCIETY,0095-3997,1552-3039,2.3,Q3,PUBLIC ADMINISTRATION - SSCI (Q3),0.00272,2.8,
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289,2.6,Q3,"HEALTH POLICY & SERVICES - SSCI (Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00396,2.92,
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,1930-3815,10.4,Q1,BUSINESS - SSCI (Q1); MANAGEMENT - SSCI (Q1),0.01154,4.8,
Adolescent Research Review,2363-8346,2363-8354,4.7,Q1,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q1); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q1)",0.0018,2.25,
ADULT EDUCATION QUARTERLY,0741-7136,1552-3047,1.3,Q4,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q4),0.00068,2.4,
Advances in Cognitive Psychology,1895-1171,1895-1171,1.2,Q4,"PSYCHOLOGY, EXPERIMENTAL - SSCI (Q4)",0.00046,2.4,
ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,1573-1677,4,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1),0.00376,2.4,
Advances in Life Course Research,1040-2608,1040-2608,3.4,Q1,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q1)",0.00185,1.9,
Advances in Methods and Practices in Psychological Science,2515-2459,2515-2467,13.6,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.01137,2.4,
Advances in Neonatal Care,1536-0903,1536-0911,1.7,Q3,NURSING - SSCI (Q3),0.0016,2,
ADVANCES IN NURSING SCIENCE,0161-9268,1550-5014,1.6,Q3,NURSING - SSCI (Q3),0.00096,2,
Advances in Skin & Wound Care,1527-7941,1538-8654,2.4,Q2,NURSING - SSCI (Q2),0.00157,2,
AERA Open,N/A,2332-8584,2.8,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.00445,2.4,
Affilia-Feminist Inquiry in Social Work,0886-1099,1552-3020,2.2,Q2,SOCIAL WORK - SSCI (Q2); WOMENS STUDIES - SSCI (Q2),0.00101,1.7,
AFRICA,0001-9720,1750-0184,1.2,Q2,ANTHROPOLOGY - SSCI (Q2); AREA STUDIES - SSCI (Q2),0.00116,1.1,
Africa Spectrum,0002-0397,1868-6869,2,Q1,AREA STUDIES - SSCI (Q1),0.00041,1,
AFRICAN AFFAIRS,0001-9909,1468-2621,2.8,Q1,AREA STUDIES - SSCI (Q1); POLITICAL SCIENCE - SSCI (Q2),0.00182,1.45,
African and Asian Studies,1569-2094,1569-2108,0.4,Q4,AREA STUDIES - SSCI (Q4),9.00E-05,1,
African Archaeological Review,0263-0338,1572-9842,1.6,Q2,ANTHROPOLOGY - SSCI (Q2),0.00069,1.2,
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,1017-6772,1467-8268,2.9,Q2,DEVELOPMENT STUDIES - SSCI (Q2),0.00107,2.5,
African Journal of Library Archives and Information Science,0795-4778,0795-4778,0.4,Q4,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI (Q4),9.00E-05,2.8,
African Journal of Reproductive Health,1118-4841,2141-3606,1,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00104,3.05,
African Journalism Studies,2374-3670,2374-3689,1,Q4,COMMUNICATION - SSCI (Q4),0.00064,2.6,
AFRICAN STUDIES,0002-0184,1469-2872,0.9,Q3,AREA STUDIES - SSCI (Q3),0.00051,1,
African Studies Review,0002-0206,1555-2462,1.6,Q2,AREA STUDIES - SSCI (Q2),0.00088,1,
Africana Linguistica,2033-8732,2034-8436,0.3,Q4,LINGUISTICS - SSCI (Q4),4.00E-05,1.2,
AGEING & SOCIETY,0144-686X,1469-1779,2.5,Q3,GERONTOLOGY - SSCI (Q3),0.00456,2.7,
AGGRESSION AND VIOLENT BEHAVIOR,1359-1789,1873-6335,4.6,Q1,"CRIMINOLOGY & PENOLOGY - SSCI (Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.0062,2.1,
AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,2.9,Q2,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q2)",0.00275,2.4,
AGING & MENTAL HEALTH,1360-7863,1364-6915,3.4,Q2,GERONTOLOGY - SSCI (Q2); PSYCHIATRY - SSCI (Q2),0.01138,3.03,
AGING NEUROPSYCHOLOGY AND COGNITION,1382-5585,1744-4128,1.9,Q3,"PSYCHOLOGY, DEVELOPMENTAL - SSCI (Q4); PSYCHOLOGY, EXPERIMENTAL - SSCI (Q3)",0.00139,2.5,
Agribusiness,0742-4477,1520-6297,3.2,Q2,ECONOMICS - SSCI (Q2),0.00109,2.1,
Agricultural and Food Economics,N/A,2193-7532,3.9,Q1,ECONOMICS - SSCI (Q1),0.00065,2.1,
AGRICULTURAL ECONOMICS,0169-5150,1574-0862,4.1,Q1,ECONOMICS - SSCI (Q1),0.00312,2.1,
Agricultural Economics-Zemedelska Ekonomika,0139-570X,1805-9295,2.2,Q2,ECONOMICS - SSCI (Q2),0.0007,2.1,
AGRICULTURAL HISTORY,0002-1482,1533-8290,0.6,Q2,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q3); HISTORY - SSCI (Q2),0.00034,0.68,
AGRICULTURE AND HUMAN VALUES,0889-048X,1572-8366,4.5,Q1,HISTORY & PHILOSOPHY OF SCIENCE - SSCI (Q1); SOCIOLOGY - SSCI (Q1),0.00339,1.43,
AIBR-Revista de Antropologia Iberoamericana,1695-9752,1578-9705,0.3,Q4,ANTHROPOLOGY - SSCI (Q4),0.00017,1.2,
AIDS AND BEHAVIOR,1090-7165,1573-3254,4.4,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q1)",0.0226,2.63,
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,0954-0121,1360-0451,1.7,Q3,"HEALTH POLICY & SERVICES - SSCI (Q4); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q4)",0.00842,2.61,
AIDS EDUCATION AND PREVENTION,0899-9546,1943-2755,1.8,Q3,"EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00128,2.72,
AIDS PATIENT CARE AND STDS,1087-2914,1557-7449,4.9,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.00365,3.05,
AJAR-African Journal of AIDS Research,1608-5906,1727-9445,1.2,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00072,3.05,
AJIDD-American Journal on Intellectual and Developmental Disabilities,1944-7515,1944-7558,2.1,Q2,"EDUCATION, SPECIAL - SSCI (Q2); REHABILITATION - SSCI (Q2)",0.00117,1.98,
ALCOHOL AND ALCOHOLISM,0735-0414,1464-3502,2.8,Q3,SUBSTANCE ABUSE - SSCI (Q3),0.00365,3.4,
Alcohol Research-Current Reviews,1535-7414,1930-0573,9.4,Q1,SUBSTANCE ABUSE - SSCI (Q1),0.00236,3.4,
ALTERNATIVES,0304-3754,2163-3150,1.3,Q3,INTERNATIONAL RELATIONS - SSCI (Q3),0.0002,1.8,
AMERICAN ANNALS OF THE DEAF,0002-726X,1543-0375,1,Q4,"EDUCATION, SPECIAL - SSCI (Q4); REHABILITATION - SSCI (Q4)",0.00025,1.98,
AMERICAN ANTHROPOLOGIST,0002-7294,1548-1433,3.5,Q1,ANTHROPOLOGY - SSCI (Q1),0.00356,1.2,
AMERICAN ANTIQUITY,0002-7316,2325-5064,2.8,Q1,ANTHROPOLOGY - SSCI (Q1),0.00189,1.2,
AMERICAN BEHAVIORAL SCIENTIST,0002-7642,1552-3381,3.2,Q1,"PSYCHOLOGY, CLINICAL - SSCI (Q2); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q1)",0.00688,2.35,
AMERICAN BUSINESS LAW JOURNAL,0002-7766,1744-1714,1.2,Q3,BUSINESS - SSCI (Q4); LAW - SSCI (Q3),0.00047,3.05,
AMERICAN CRIMINAL LAW REVIEW,0164-0364,0164-0364,0.4,Q4,LAW - SSCI (Q4),0.00038,1.3,
American Economic Journal-Applied Economics,1945-7782,1945-7790,6.2,Q1,ECONOMICS - SSCI (Q1),0.01989,2.1,
American Economic Journal-Economic Policy,1945-7731,1945-774X,5.3,Q1,ECONOMICS - SSCI (Q1),0.01708,2.1,
American Economic Journal-Macroeconomics,1945-7707,1945-7715,6,Q1,ECONOMICS - SSCI (Q1),0.01442,2.1,
American Economic Journal-Microeconomics,1945-7669,1945-7685,2.4,Q2,ECONOMICS - SSCI (Q2),0.00659,2.1,
AMERICAN ECONOMIC REVIEW,0002-8282,1944-7981,10.7,Q1,ECONOMICS - SSCI (Q1),0.09345,2.1,
American Economic Review-Insights,2640-205X,2640-2068,8.5,Q1,ECONOMICS - SSCI (Q1),0.00769,2.1,
AMERICAN EDUCATIONAL RESEARCH JOURNAL,0002-8312,1935-1011,3.6,Q1,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q1),0.00658,2.4,
AMERICAN ETHNOLOGIST,0094-0496,1548-1425,2.3,Q1,ANTHROPOLOGY - SSCI (Q1),0.00247,1.2,
American Health and Drug Benefits,1942-2962,1942-2970,1.4,Q4,HEALTH POLICY & SERVICES - SSCI (Q4),0.00089,2.8,
AMERICAN HISTORICAL REVIEW,0002-8762,1937-5239,1.5,Q1,HISTORY - SSCI (Q1),0.00341,0.6,
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,1533-7731,1533-7731,1.3,Q4,"PSYCHOLOGY, CLINICAL - SSCI (Q4)",0.00044,2.8,
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,1467-8276,4.2,Q1,ECONOMICS - SSCI (Q1),0.00634,2.1,
AMERICAN JOURNAL OF BIOETHICS,1526-5161,1536-0075,13.4,Q1,"ETHICS - SSCI (Q1); SOCIAL ISSUES - SSCI (Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI (Q1)",0.00578,2.03,
AMERICAN JOURNAL OF CLINICAL HYPNOSIS,0002-9157,2160-0562,1.3,Q4,"PSYCHOLOGY, CLINICAL - SSCI (Q4)",0.00031,2.8,
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,0091-0562,1573-2770,3.1,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q2); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q2); SOCIAL WORK - SSCI (Q1)",0.0042,2.42,
AMERICAN JOURNAL OF COMPARATIVE LAW,0002-919X,2326-9197,1.5,Q2,LAW - SSCI (Q2),0.00058,1.3,
American Journal of Criminal Justice,1066-2316,1936-1351,5.6,Q1,CRIMINOLOGY & PENOLOGY - SSCI (Q1),0.00357,1.8,
American Journal of Cultural Sociology,2049-7113,2049-7121,2.9,Q2,SOCIOLOGY - SSCI (Q2),0.00121,2.1,
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,0095-2990,1097-9891,2.7,Q3,"PSYCHOLOGY, CLINICAL - SSCI (Q3); SUBSTANCE ABUSE - SSCI (Q3)",0.00477,3.1,
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,0002-9246,1536-7150,0.8,Q4,ECONOMICS - SSCI (Q4); SOCIOLOGY - SSCI (Q4),0.00088,2.1,
AMERICAN JOURNAL OF EDUCATION,0195-6744,1549-6511,2.5,Q2,EDUCATION & EDUCATIONAL RESEARCH - SSCI (Q2),0.00119,2.4,
AMERICAN JOURNAL OF EVALUATION,1098-2140,1557-0878,1.7,Q3,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI (Q3)",0.0009,1.9,
AMERICAN JOURNAL OF FAMILY THERAPY,0192-6187,1521-0383,1.4,Q4,"FAMILY STUDIES - SSCI (Q4); PSYCHOLOGY, CLINICAL - SSCI (Q4)",0.0006,2.5,
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,1064-7481,1545-7214,7.2,Q1,GERONTOLOGY - SSCI (Q1); PSYCHIATRY - SSCI (Q1),0.00892,3.03,
AMERICAN JOURNAL OF HEALTH BEHAVIOR,1945-7359,N/A,2.3,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00185,3.05,
American Journal of Health Economics,2332-3493,2332-3507,3.7,Q1,ECONOMICS - SSCI (Q2); HEALTH POLICY & SERVICES - SSCI (Q1),0.0019,2.45,
AMERICAN JOURNAL OF HEALTH PROMOTION,0890-1171,2168-6602,2.7,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00463,3.05,
AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533,1520-6300,2.9,Q1,ANTHROPOLOGY - SSCI (Q1),0.00381,1.2,
AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,2161-7953,4.3,Q1,INTERNATIONAL RELATIONS - SSCI (Q1); LAW - SSCI (Q1),0.00191,1.55,
AMERICAN JOURNAL OF LAW & MEDICINE,0098-8588,2375-835X,0.6,Q4,LAW - SSCI (Q4),0.00043,1.3,
AMERICAN JOURNAL OF MANAGED CARE,1088-0224,N/A,3.2,Q2,HEALTH POLICY & SERVICES - SSCI (Q2),0.0075,2.8,
American Journal of Mens Health,1557-9883,1557-9891,2.3,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q3)",0.00519,3.05,
AMERICAN JOURNAL OF NURSING,0002-936X,1538-7488,2.7,Q1,NURSING - SSCI (Q1),0.0018,2,
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,0272-9490,1943-7676,2.9,Q1,REHABILITATION - SSCI (Q1),0.0026,1.95,
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,0002-9432,1939-0025,3.3,Q1,SOCIAL WORK - SSCI (Q1),0.00414,1.8,
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,1096-8644,2.8,Q1,ANTHROPOLOGY - SSCI (Q1),0.0068,1.2,
AMERICAN JOURNAL OF POLITICAL SCIENCE,0092-5853,1540-5907,4.2,Q1,POLITICAL SCIENCE - SSCI (Q1),0.01981,1.9,
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,0749-3797,1873-2607,5.5,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.0291,3.05,
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,1535-7228,17.7,Q1,PSYCHIATRY - SSCI (Q1),0.02705,3.35,
AMERICAN JOURNAL OF PSYCHOLOGY,0002-9556,1939-8298,1.3,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q4)",0.00053,2.4,
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,1541-0048,12.7,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q1)",0.04683,3.05,
AMERICAN JOURNAL OF SOCIOLOGY,0002-9602,1537-5390,4.4,Q1,SOCIOLOGY - SSCI (Q1),0.0056,2.1,
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1058-0360,1558-9110,2.6,Q1,LINGUISTICS - SSCI (Q1); REHABILITATION - SSCI (Q1),0.00458,1.57,
AMERICAN JOURNAL ON ADDICTIONS,1055-0496,1521-0391,3.7,Q2,SUBSTANCE ABUSE - SSCI (Q2),0.00325,3.4,
American Law and Economics Review,1465-7252,1465-7260,1.5,Q2,ECONOMICS - SSCI (Q3); LAW - SSCI (Q2),0.00082,1.7,
AMERICAN POLITICAL SCIENCE REVIEW,0003-0554,1537-5943,6.8,Q1,POLITICAL SCIENCE - SSCI (Q1),0.02536,1.9,
AMERICAN POLITICS RESEARCH,1532-673X,1552-3373,1.5,Q3,POLITICAL SCIENCE - SSCI (Q3),0.00328,1.9,
AMERICAN PSYCHOLOGIST,0003-066X,1935-990X,16.4,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q1)",0.02235,2.4,
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,0275-0740,1552-3357,5,Q1,PUBLIC ADMINISTRATION - SSCI (Q1),0.00415,2.8,
AMERICAN SOCIOLOGICAL REVIEW,0003-1224,1939-8271,9.1,Q1,SOCIOLOGY - SSCI (Q1),0.01619,2.1,
AMERICAN SPEECH,0003-1283,1527-2133,0.5,Q4,LINGUISTICS - SSCI (Q4),0.00029,1.2,
AMERICAS,0003-1615,1533-6247,0.4,Q3,HISTORY - SSCI (Q3),0.00056,0.6,
Amfiteatru Economic,1582-9146,2247-9104,2.6,Q2,BUSINESS - SSCI (Q4); ECONOMICS - SSCI (Q2); MANAGEMENT - SSCI (Q4),0.00068,3.9,
Anales de Psicologia,0212-9728,1695-2294,1.7,Q3,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI (Q3)",0.00123,2.4,
Anales del Sistema Sanitario De Navarra,1137-6627,2340-3527,1,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI (Q4)",0.00022,3.05,
