Scopus Source ID,Title,CiteScore 2020,SNIP,SJR,Percentile
12001,Journal of the Experimental Analysis of Behavior,3.1,1.104,0.75,33
12001,Journal of the Experimental Analysis of Behavior,3.1,1.104,0.75,55
12002,Journal of the History of the Behavioral Sciences,0.9,1.215,0.216,31
12002,Journal of the History of the Behavioral Sciences,0.9,1.215,0.216,86
12004,Journal of Trauma and Dissociation,3.4,1.058,0.703,71
12004,Journal of Trauma and Dissociation,3.4,1.058,0.703,62
12005,Journal of Traumatic Stress,3.8,1.351,1.259,75
12005,Journal of Traumatic Stress,3.8,1.351,1.259,66
12006,Journal of Vocational Behavior,8.4,2.8,2.607,95
12006,Journal of Vocational Behavior,8.4,2.8,2.607,94
12006,Journal of Vocational Behavior,8.4,2.8,2.607,93
12006,Journal of Vocational Behavior,8.4,2.8,2.607,98
12008,Teruleti Statisztika,2,0.694,0.37,61
12008,Teruleti Statisztika,2,0.694,0.37,61
12008,Teruleti Statisztika,2,0.694,0.37,54
12010,Annual Review of Psychology,36.7,10.632,10.358,98
12013,Revue des Etudes Juives,0.1,0,0.1,20
12013,Revue des Etudes Juives,0.1,0,0.1,36
12013,Revue des Etudes Juives,0.1,0,0.1,19
12013,Revue des Etudes Juives,0.1,0,0.1,22
12014,Anuario de Psicologia,0.9,0.252,0.165,25
12014,Anuario de Psicologia,0.9,0.252,0.165,23
12016,Canadian Journal of Fisheries and Aquatic Sciences,4.5,1.085,1.09,81
12016,Canadian Journal of Fisheries and Aquatic Sciences,4.5,1.085,1.09,82
12020,"Anxiety, Stress and Coping",3.9,1.355,1.047,82
12020,"Anxiety, Stress and Coping",3.9,1.355,1.047,75
12020,"Anxiety, Stress and Coping",3.9,1.355,1.047,76
12020,"Anxiety, Stress and Coping",3.9,1.355,1.047,66
12024,Applied Cognitive Psychology,2.7,0.915,0.719,49
12024,Applied Cognitive Psychology,2.7,0.915,0.719,69
12024,Applied Cognitive Psychology,2.7,0.915,0.719,60
12027,Japanese Journal of Educational Psychology,0.1,0.278,0.121,4
12027,Japanese Journal of Educational Psychology,0.1,0.278,0.121,8
12028,Applied Psychological Measurement,2.9,2.199,2.083,76
12028,Applied Psychological Measurement,2.9,2.199,2.083,79
12029,Applied Psychology,5.3,2.104,1.497,92
12029,Applied Psychology,5.3,2.104,1.497,84
